User ID- 201382457, Username- mell1433, Q1- 4, Q2- 2, Q3- 3, Q4- 2, Q5- 4, Q6- 3, Q7- 4, Q8- 1, Q9- 2, Q10- 4
User ID- 5183459674, Username- None, Q1- 3, Q2- 2, Q3- 4, Q4- 2, Q5- 1, Q6- 4, Q7- 4, Q8- 4, Q9- 4, Q10- 1
User ID- 2002281620, Username- None, Q1- 4, Q2- 4, Q3- 3, Q4- 2, Q5- 4, Q6- 4, Q7- 4, Q8- 3, Q9- 4, Q10- 3
User ID- 1465124320, Username- Elena_I_Se, Q1- 1, Q2- 1, Q3- 3, Q4- 4, Q5- 3, Q6- 2, Q7- 2, Q8- 4, Q9- 3, Q10- 3
User ID- 6438880372, Username- None, Q1- 4, Q2- 2, Q3- 2, Q4- 3, Q5- 3, Q6- 3, Q7- 4, Q8- 1, Q9- 4, Q10- 1
User ID- 5178919192, Username- Strela_71, Q1- 1, Q2- 4, Q3- 4, Q4- 1, Q5- 2, Q6- 1, Q7- 4, Q8- 1, Q9- 3, Q10- 4
User ID- 1443100374, Username- None, Q1- 3, Q2- 2, Q3- 2, Q4- 2, Q5- 1, Q6- 3, Q7- 4, Q8- 3, Q9- 4, Q10- 4
User ID- 1186275655, Username- None, Q1- 4, Q2- 2, Q3- 4, Q4- 4, Q5- 2, Q6- 2, Q7- 2, Q8- 2, Q9- 1, Q10- 4
User ID- 854225446, Username- LyubovAfonshina, Q1- 4, Q2- 2, Q3- 3, Q4- 2, Q5- 2, Q6- 2, Q7- 2, Q8- 4, Q9- 2, Q10- 4
User ID- 753157854, Username- None, Q1- 1, Q2- 1, Q3- 3, Q4- 2, Q5- 1, Q6- 4, Q7- 4, Q8- 4, Q9- 1, Q10- 1
User ID- 116348359, Username- Aisonaku, Q1- 1, Q2- 3, Q3- 1, Q4- 1, Q5- 2, Q6- 4, Q7- 3, Q8- 1, Q9- 4, Q10- 4
User ID- 1789884366, Username- None, Q1- 4, Q2- 4, Q3- 3, Q4- 4, Q5- 2, Q6- 4, Q7- 4, Q8- 4, Q9- 1, Q10- 1
User ID- 6094244551, Username- None, Q1- 4, Q2- 2, Q3- 3, Q4- 4, Q5- 4, Q6- 3, Q7- 4, Q8- 1, Q9- 1, Q10- 4
User ID- 298853990, Username- None, Q1- 3, Q2- 2, Q3- 1, Q4- 2, Q5- 2, Q6- 2, Q7- 3, Q8- 3, Q9- 4, Q10- 2
User ID- 1396068922, Username- L_a_n_a_8_5, Q1- 3, Q2- 1, Q3- 2, Q4- 2, Q5- 4, Q6- 2, Q7- 3, Q8- 2, Q9- 3, Q10- 1
User ID- 1920911187, Username- Katja_Ar, Q1- 1, Q2- 1, Q3- 3, Q4- 4, Q5- 2, Q6- 2, Q7- 4, Q8- 2, Q9- 2, Q10- 4
User ID- 1626777622, Username- None, Q1- 2, Q2- 1, Q3- 4, Q4- 2, Q5- 1, Q6- 3, Q7- 1, Q8- 2, Q9- 3, Q10- 4
User ID- 631407415, Username- tanyatanchick, Q1- 1, Q2- 4, Q3- 2, Q4- 4, Q5- 2, Q6- 2, Q7- 4, Q8- 1, Q9- 4, Q10- 4
User ID- 5321789096, Username- Katerina9889, Q1- 3, Q2- 3, Q3- 3, Q4- 3, Q5- 3, Q6- 3, Q7- 1, Q8- 3, Q9- 3, Q10- 3
User ID- 5321789096, Username- Katerina9889, Q1- 3, Q2- 3, Q3- 3, Q4- 3, Q5- 3, Q6- 3, Q7- 1, Q8- 3, Q9- 3, Q10- 3, end_time- datetime.datetime(2024, 8, 6, 15, 50, 53, 565275)
User ID- 5264534023, Username- None, Q1- 2, Q2- 2, Q3- 2, Q4- 2, Q5- 1, Q6- 1, Q7- 1, Q8- 1, Q9- 2, Q10- 4
User ID- 524225597, Username- None, Q1- 4, Q2- 4, Q3- 1, Q4- 2, Q5- 2, Q6- 4, Q7- 1, Q8- 1, Q9- 4, Q10- 1
User ID- 910061936, Username- None, Q1- 4, Q2- 2, Q3- 4, Q4- 2, Q5- 2, Q6- 2, Q7- 4, Q8- 4, Q9- 3, Q10- 3
User ID- 5080508312, Username- None, Q1- 2, Q2- 1, Q3- 3, Q4- 2, Q5- 4, Q6- 1, Q7- 4, Q8- 2, Q9- 4, Q10- 4
User ID- 5130073301, Username- melnikseniya, Q1- 1, Q2- 2, Q3- 2, Q4- 2, Q5- 4, Q6- 2, Q7- 2, Q8- 4, Q9- 1, Q10- 4
User ID- 7445766738, Username- None, Q1- 2, Q2- 4, Q3- 2, Q4- 3, Q5- 3, Q6- 3, Q7- 4, Q8- 3, Q9- 2, Q10- 3
User ID- 342550421, Username- ohhmarimari_PM, Q1- 2, Q2- 3, Q3- 2, Q4- 2, Q5- 2, Q6- 1, Q7- 2, Q8- 1, Q9- 3, Q10- 4
User ID- 5767991926, Username- None, Q1- 1, Q2- 4, Q3- 3, Q4- 4, Q5- 3, Q6- 1, Q7- 4, Q8- 3, Q9- 2, Q10- 3
User ID- 462961691, Username- None, Q1- 2, Q2- 1, Q3- 4, Q4- 4, Q5- 4, Q6- 2, Q7- 1, Q8- 1, Q9- 2, Q10- 3
User ID- 351365984, Username- None, Q1- 4, Q2- 4, Q3- 3, Q4- 2, Q5- 2, Q6- 3, Q7- 4, Q8- 1, Q9- 2, Q10- 1
User ID- 5254238578, Username- None, Q1- 3, Q2- 4, Q3- 3, Q4- 2, Q5- 2, Q6- 4, Q7- 4, Q8- 1, Q9- 3, Q10- 1
User ID- 983292264, Username- EleRubL, Q1- 2, Q2- 1, Q3- 2, Q4- 1, Q5- 4, Q6- 2, Q7- 3, Q8- 4, Q9- 1, Q10- 1
User ID- 1884634891, Username- None, Q1- 4, Q2- 3, Q3- 2, Q4- 4, Q5- 1, Q6- 1, Q7- 3, Q8- 1, Q9- 1, Q10- 3
User ID- 6914347110, Username- None, Q1- 3, Q2- 1, Q3- 3, Q4- 1, Q5- 1, Q6- 4, Q7- 2, Q8- 1, Q9- 1, Q10- 4
User ID- 1222319919, Username- ptaxa30, Q1- 1, Q2- 2, Q3- 2, Q4- 2, Q5- 4, Q6- 2, Q7- 1, Q8- 4, Q9- 4, Q10- 1
User ID- 5395708783, Username- None, Q1- 3, Q2- 4, Q3- 3, Q4- 4, Q5- 4, Q6- 3, Q7- 2, Q8- 3, Q9- 3, Q10- 1
User ID- 1697731836, Username- meristar25, Q1- 4, Q2- 4, Q3- 4, Q4- 4, Q5- 3, Q6- 2, Q7- 4, Q8- 1, Q9- 1, Q10- 1
User ID- 1428899915, Username- None, Q1- 4, Q2- 1, Q3- 2, Q4- 4, Q5- 2, Q6- 4, Q7- 4, Q8- 4, Q9- 4, Q10- 4
User ID- 5073374979, Username- None, Q1- 3, Q2- 1, Q3- 2, Q4- 2, Q5- 2, Q6- 2, Q7- 2, Q8- 4, Q9- 4, Q10- 4
User ID- 866891019, Username- mansunya, Q1- 1, Q2- 1, Q3- 2, Q4- 1, Q5- 2, Q6- 1, Q7- 1, Q8- 4, Q9- 3, Q10- 4
User ID- 1095059353, Username- NAZ_9125, Q1- 1, Q2- 1, Q3- 3, Q4- 2, Q5- 4, Q6- 2, Q7- 4, Q8- 4, Q9- 4, Q10- 3
User ID- 5783094687, Username- None, Q1- 2, Q2- 1, Q3- 2, Q4- 3, Q5- 2, Q6- 2, Q7- 2, Q8- 4, Q9- 2, Q10- 3
User ID- 5207868599, Username- None, Q1- 2, Q2- 4, Q3- 3, Q4- 2, Q5- 4, Q6- 2, Q7- 4, Q8- 4, Q9- 1, Q10- 1
User ID- 313270601, Username- None, Q1- 4, Q2- 2, Q3- 4, Q4- 3, Q5- 2, Q6- 1, Q7- 1, Q8- 4, Q9- 1, Q10- 3
User ID- 106576440, Username- Svet227, Q1- 4, Q2- 4, Q3- 4, Q4- 2, Q5- 4, Q6- 2, Q7- 3, Q8- 1, Q9- 2, Q10- 1
User ID- 212254072, Username- sammy_tel, Q1- 2, Q2- 2, Q3- 4, Q4- 2, Q5- 2, Q6- 2, Q7- 2, Q8- 4, Q9- 2, Q10- 3
User ID- 1107712618, Username- None, Q1- 4, Q2- 1, Q3- 3, Q4- 4, Q5- 1, Q6- 4, Q7- 4, Q8- 1, Q9- 4, Q10- 4
User ID- 529347083, Username- None, Q1- 4, Q2- 4, Q3- 4, Q4- 3, Q5- 3, Q6- 3, Q7- 4, Q8- 4, Q9- 2, Q10- 1
User ID- 5249058828, Username- None, Q1- 1, Q2- 2, Q3- 2, Q4- 2, Q5- 2, Q6- 2, Q7- 2, Q8- 4, Q9- 1, Q10- 4
User ID- 5233616730, Username- None, Q1- 2, Q2- 4, Q3- 2, Q4- 2, Q5- 4, Q6- 2, Q7- 1, Q8- 1, Q9- 3, Q10- 1
User ID- 1777747001, Username- None, Q1- 1, Q2- 1, Q3- 4, Q4- 1, Q5- 2, Q6- 2, Q7- 4, Q8- 2, Q9- 1, Q10- 4
User ID- 1630924373, Username- None, Q1- 1, Q2- 1, Q3- 3, Q4- 1, Q5- 1, Q6- 2, Q7- 4, Q8- 1, Q9- 1, Q10- 1
User ID- 5145881843, Username- None, Q1- 2, Q2- 2, Q3- 2, Q4- 2, Q5- 2, Q6- 2, Q7- 2, Q8- 4, Q9- 2, Q10- 4
User ID- 6278276195, Username- None, Q1- 3, Q2- 2, Q3- 3, Q4- 2, Q5- 2, Q6- 1, Q7- 2, Q8- 1, Q9- 1, Q10- 3
User ID- 1352293467, Username- Gortatis, Q1- 4, Q2- 4, Q3- 3, Q4- 2, Q5- 1, Q6- 4, Q7- 4, Q8- 1, Q9- 4, Q10- 1
User ID- 1352293467, Username- Gortatis, Q1- 2, Q2- 1, Q3- 4, Q4- 4, Q5- 1, Q6- 2, Q7- 3, Q8- 1, Q9- 4, Q10- 4
User ID- 1954454805, Username- TerpugovaElena, Q1- 4, Q2- 2, Q3- 3, Q4- 2, Q5- 2, Q6- 2, Q7- 4, Q8- 1, Q9- 4, Q10- 3
User ID- 5144445385, Username- ArnstEA, Q1- 4, Q2- 4, Q3- 4, Q4- 3, Q5- 4, Q6- 3, Q7- 4, Q8- 4, Q9- 4, Q10- 1
User ID- 763289282, Username- romanenkosvetlana, Q1- 1, Q2- 3, Q3- 2, Q4- 3, Q5- 2, Q6- 1, Q7- 1, Q8- 2, Q9- 2, Q10- 1
User ID- 446384450, Username- julia_avc, Q1- 3, Q2- 2, Q3- 1, Q4- 2, Q5- 1, Q6- 1, Q7- 4, Q8- 1, Q9- 4, Q10- 4
User ID- 5147134414, Username- UmerenkovaKat, Q1- 4, Q2- 4, Q3- 3, Q4- 3, Q5- 2, Q6- 3, Q7- 4, Q8- 4, Q9- 1, Q10- 4
User ID- 6250574459, Username- None, Q1- 2, Q2- 2, Q3- 4, Q4- 4, Q5- 2, Q6- 2, Q7- 1, Q8- 3, Q9- 4, Q10- 4
User ID- 1792578624, Username- lendyaeva_0508, Q1- 1, Q2- 1, Q3- 1, Q4- 2, Q5- 1, Q6- 1, Q7- 1, Q8- 1, Q9- 1, Q10- 1
User ID- 738898282, Username- Zhanna34, Q1- 2, Q2- 1, Q3- 4, Q4- 3, Q5- 4, Q6- 3, Q7- 4, Q8- 1, Q9- 4, Q10- 1
User ID- 2081936205, Username- None, Q1- 4, Q2- 4, Q3- 2, Q4- 4, Q5- 1, Q6- 2, Q7- 2, Q8- 4, Q9- 4, Q10- 1
User ID- 227055089, Username- age_hacker, Q1- 2, Q2- 2, Q3- 3, Q4- 4, Q5- 2, Q6- 1, Q7- 3, Q8- 3, Q9- 2, Q10- 4
User ID- 303632162, Username- alshabalina, Q1- 4, Q2- 2, Q3- 3, Q4- 4, Q5- 3, Q6- 4, Q7- 4, Q8- 4, Q9- 1, Q10- 2
User ID- 1889033257, Username- mary_sol_3003, Q1- 3, Q2- 1, Q3- 2, Q4- 2, Q5- 1, Q6- 2, Q7- 1, Q8- 1, Q9- 1, Q10- 1
User ID- 662949036, Username- None, Q1- 1, Q2- 2, Q3- 1, Q4- 1, Q5- 4, Q6- 2, Q7- 1, Q8- 1, Q9- 4, Q10- 1
User ID- 1734459544, Username- None, Q1- 4, Q2- 1, Q3- 3, Q4- 2, Q5- 1, Q6- 1, Q7- 4, Q8- 1, Q9- 4, Q10- 4
User ID- 5346159411, Username- None, Q1- 4, Q2- 1, Q3- 4, Q4- 4, Q5- 1, Q6- 1, Q7- 4, Q8- 4, Q9- 4, Q10- 4
User ID- 5173798162, Username- Lavrna, Q1- 4, Q2- 1, Q3- 4, Q4- 2, Q5- 2, Q6- 2, Q7- 2, Q8- 1, Q9- 4, Q10- 4
User ID- 5136181774, Username- ApolinariaFS, Q1- 4, Q2- 4, Q3- 3, Q4- 2, Q5- 4, Q6- 2, Q7- 2, Q8- 2, Q9- 4, Q10- 3
User ID- 6088452616, Username- None, Q1- 1, Q2- 2, Q3- 3, Q4- 2, Q5- 2, Q6- 1, Q7- 1, Q8- 1, Q9- 1, Q10- 1
User ID- 5242716903, Username- Irina_Tula14, Q1- 2, Q2- 1, Q3- 4, Q4- 4, Q5- 4, Q6- 4, Q7- 4, Q8- 3, Q9- 4, Q10- 1
User ID- 5123648939, Username- None, Q1- 1, Q2- 1, Q3- 3, Q4- 4, Q5- 1, Q6- 4, Q7- 1, Q8- 1, Q9- 4, Q10- 4
User ID- 5169557933, Username- None, Q1- 1, Q2- 4, Q3- 4, Q4- 2, Q5- 3, Q6- 1, Q7- 4, Q8- 1, Q9- 2, Q10- 1
User ID- 1403598131, Username- TatyanaLukovka, Q1- 1, Q2- 4, Q3- 4, Q4- 4, Q5- 2, Q6- 2, Q7- 4, Q8- 4, Q9- 4, Q10- 4
User ID- 5211113562, Username- None, Q1- 3, Q2- 4, Q3- 2, Q4- 4, Q5- 4, Q6- 2, Q7- 3, Q8- 3, Q9- 3, Q10- 2
User ID- 869825698, Username- Anna_Shatalovq, Q1- 2, Q2- 1, Q3- 3, Q4- 2, Q5- 4, Q6- 3, Q7- 4, Q8- 1, Q9- 2, Q10- 1
User ID- 1632956007, Username- nelli020200, Q1- 2, Q2- 2, Q3- 3, Q4- 2, Q5- 2, Q6- 3, Q7- 4, Q8- 4, Q9- 4, Q10- 3
User ID- 1761168554, Username- None, Q1- 2, Q2- 2, Q3- 4, Q4- 2, Q5- 2, Q6- 1, Q7- 2, Q8- 1, Q9- 2, Q10- 1
User ID- 5007018449, Username- None, Q1- 2, Q2- 2, Q3- 3, Q4- 4, Q5- 2, Q6- 4, Q7- 1, Q8- 4, Q9- 4, Q10- 1
User ID- 423455535, Username- Sochioptima, Q1- 4, Q2- 1, Q3- 4, Q4- 2, Q5- 3, Q6- 1, Q7- 4, Q8- 2, Q9- 4, Q10- 4
User ID- 5853449686, Username- None, Q1- 1, Q2- 4, Q3- 3, Q4- 4, Q5- 4, Q6- 1, Q7- 4, Q8- 4, Q9- 4, Q10- 4
User ID- 1350609490, Username- tatiana_pech, Q1- 4, Q2- 4, Q3- 2, Q4- 3, Q5- 2, Q6- 2, Q7- 4, Q8- 2, Q9- 2, Q10- 4
User ID- 971623461, Username- aintyourmother, Q1- 3, Q2- 3, Q3- 3, Q4- 4, Q5- 2, Q6- 2, Q7- 4, Q8- 4, Q9- 2, Q10- 4
User ID- 1140211897, Username- None, Q1- 4, Q2- 2, Q3- 3, Q4- 2, Q5- 4, Q6- 2, Q7- 3, Q8- 4, Q9- 2, Q10- 4
User ID- 5249155287, Username- None, Q1- 3, Q2- 3, Q3- 2, Q4- 1, Q5- 1, Q6- 4, Q7- 2, Q8- 1, Q9- 1, Q10- 1
User ID- 43247824, Username- None, Q1- 4, Q2- 2, Q3- 3, Q4- 1, Q5- 4, Q6- 1, Q7- 4, Q8- 1, Q9- 3, Q10- 1
User ID- 643016442, Username- None, Q1- 2, Q2- 4, Q3- 3, Q4- 3, Q5- 2, Q6- 4, Q7- 4, Q8- 1, Q9- 2, Q10- 4
User ID- 5192294091, Username- None, Q1- 4, Q2- 2, Q3- 3, Q4- 2, Q5- 1, Q6- 2, Q7- 2, Q8- 3, Q9- 2, Q10- 4
User ID- 43247824, Username- None, Q1- 4, Q2- 2, Q3- 3, Q4- 1, Q5- 2, Q6- 2, Q7- 4, Q8- 4, Q9- 3, Q10- 3
User ID- 6156516125, Username- None, Q1- 3, Q2- 2, Q3- 3, Q4- 1, Q5- 4, Q6- 3, Q7- 4, Q8- 4, Q9- 1, Q10- 1
User ID- 1470682012, Username- None, Q1- 1, Q2- 1, Q3- 1, Q4- 1, Q5- 2, Q6- 1, Q7- 1, Q8- 4, Q9- 1, Q10- 1
User ID- 641729277, Username- egoleva, Q1- 4, Q2- 2, Q3- 3, Q4- 2, Q5- 1, Q6- 2, Q7- 4, Q8- 2, Q9- 4, Q10- 1
User ID- 5016592249, Username- None, Q1- 4, Q2- 4, Q3- 3, Q4- 3, Q5- 2, Q6- 2, Q7- 4, Q8- 4, Q9- 1, Q10- 3
User ID- 1429838132, Username- Natali0258, Q1- 4, Q2- 4, Q3- 4, Q4- 1, Q5- 4, Q6- 3, Q7- 3, Q8- 4, Q9- 4, Q10- 3
User ID- 1215579500, Username- DarinaPetuhova, Q1- 4, Q2- 1, Q3- 3, Q4- 3, Q5- 2, Q6- 4, Q7- 4, Q8- 4, Q9- 3, Q10- 1
User ID- 1778043123, Username- IrinaMosharova66, Q1- 2, Q2- 2, Q3- 1, Q4- 4, Q5- 2, Q6- 2, Q7- 4, Q8- 1, Q9- 1, Q10- 1
